review_identity,review_deletion,pub_identity,brunch,dart,entertain,favourite,garden,history,late,music,pool,quiz,roast,sport,beer,cocktail,outdoor,restaurant,wine,nofeature,scenic,private
8d5a1f9a-c3bb-42e3-a6d7-312ec871fcdf,0.0,b2d52630-79bf-457d-98f8-e7bf1de62b39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,
b6aa21b8-cd53-4202-8346-70f610a3ad9a,0.0,3993b00b-0847-4431-9392-ff60a69e1074,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,
ae71a207-0d41-40a5-a298-2eace8c23a2e,0.0,b953b279-995b-4f94-81a5-b201be523aa1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
d469e300-2409-4cfb-b2f4-80b847f98573,0.0,d0b56227-3c66-40d6-81d7-aa19c1f50dea,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ba166878-8fe4-425c-b6f5-686113249938,0.0,c39e7404-5f5c-4ebf-adaa-3412cb3f1a61,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,
2b63f8c6-93f0-434d-bf79-796d110f482f,0.0,7397e397-0fb2-4dc9-a13e-0e009a3c758a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0bb29d36-a6c2-47ab-bc78-c81665192e68,0.0,e77e436f-d231-42f2-b45a-cae75e3219d8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,
c9f7c3bb-e94b-4e9c-bee1-7597dc7e186b,0.0,111a75e9-2d09-486a-a54e-5992dbc2eca0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
06d15c26-6627-4bd1-93c3-5cf5641eae50,0.0,7de6ece6-65fa-4d47-a0af-851f3179dc87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0d430bcf-9f0a-4c81-93db-8b6a4365f360,0.0,3227e6fa-c80b-44d7-abb9-2b8c5d9dc817,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,
ec24882c-5d48-4efd-abda-1f3558521d7c,0.0,179ffa7c-b7dc-466d-a498-b181fdb219c9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0eac16d2-476e-4a50-9988-f2e19e132a65,0.0,666a1b60-9c50-4f86-b3c6-bcba1d6bf7ff,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
bc6cc970-b920-4f47-99ac-6e6b890f2b9e,0.0,75965700-9d04-4f07-a637-abfdbb49266b,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
08363e78-6cf9-4d02-a1df-e5e1bee3ff43,0.0,0c448145-6d59-4bd8-abe8-ab0327021ea6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
f45993ba-2a40-4407-8589-f4d423b9ebdc,0.0,d1b6f9d8-77ff-4a30-9ed2-6c3d698c341b,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
6eb36501-5257-4060-ba00-1f5b1bb34e9f,0.0,77e33190-8e85-464c-8b0a-c0e4412ca130,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
8f283ad6-f83c-479c-afb4-c9945e68dbde,0.0,5f52213e-c6e9-4aac-a691-17c4c582d321,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
a65ea6bd-c48d-414b-b082-3e03a0494e6b,0.0,d9eddec9-79ea-451a-8281-2633fa3e0d7f,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,
2db10cca-5d5a-45a2-96dd-21f8341b19c4,0.0,6965daa1-882e-4361-8965-276a02cdd614,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
41ca9321-1d82-4ff1-a84f-1083ec4a9ee7,0.0,537c84a3-b54b-488e-9f55-652409df94b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,
404875a0-ee26-4de5-9023-6c8e5da4eecc,0.0,e1981c7d-fc99-45ef-92cf-c4aac6090cfc,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
42c126af-4af7-48f3-8f6b-d15a17217598,0.0,c26bd2e6-40d3-48c8-9d1e-9d4fd4af3231,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
36effab3-813f-4fc8-a8cf-2aadf13f4bf9,0.0,2adfb24e-f964-4a76-8c4f-799f7c704096,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,
2ed6e083-f621-43a1-88a3-381b2dc131ac,0.0,7685a7db-c6df-4182-a3c1-c86e94bb099b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
f936be36-25d6-4c16-98f2-b2240f2b50c1,0.0,97a112a9-31a7-4be6-bae9-0b828715e042,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9c7d668f-4aac-4ac6-b9ad-197ad89e38c9,0.0,e620aa52-3217-4d9c-b733-36b8e5fe71d6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
4e6fd938-f52a-4eb7-bd70-0306f36c1523,0.0,4d2b172a-3f76-4936-af1f-3a9fa3129835,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,
1d109064-2e94-4806-a858-dc7e58a4c4a2,0.0,c1780172-c0ae-4986-9870-c1f41d07186a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
762f9d9e-a089-4b38-8442-973e50ec6441,0.0,4b4763d9-f1d4-4967-b6ff-f60295e0b08a,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
61040888-fbc1-4c02-8e33-82bd90415a53,0.0,2187101a-c4ba-4e73-abba-01f094808673,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
ac0957b1-2473-4ba9-8624-ce914354001d,0.0,390c3f91-bd96-45a4-88da-a47c537cfe89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,
982182f7-95f4-4a85-a5db-1f72e455ae39,0.0,97db9cac-552f-4b75-a212-3f93f8345106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
71ae49c9-9dc6-4a6a-a177-525f9a4c694a,0.0,bedb5f88-f233-497d-8e1c-f8e553a47d67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
f52a116e-7f29-4c7c-8634-b18740de5b54,0.0,e08ad1f3-3943-46cd-bdf5-ce9fdcdef72f,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ad0e7343-c990-4b53-ad6e-7d24180621f5,0.0,8e99b0f2-e61c-4fd6-9e01-f53da76b5f81,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,
f5f4b939-6c8d-45b7-ba0d-8ef95d699c87,0.0,78295944-cac8-4b2c-b9cb-0a439fef22b2,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,,
30189288-b310-423e-b708-4393ae28ac1a,0.0,4db0af7c-e9ca-4475-9d0f-0d7ca82d31e8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
618b880a-bc45-4955-b32b-068dd5d6aad3,0.0,ff1be3fe-9942-441e-a9e3-f329d0b65eb2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,
0ba448d4-10e4-4fc9-a6d2-a43ce44645f6,0.0,0252299e-ca2a-4dad-941f-c48bd96d99b6,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,,
15dc0bb3-16a3-4a7b-8d52-6b12c85a087c,0.0,c9cb2f10-838b-400b-aaa9-a2a2a4defe64,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,
a3036362-0fad-4f9d-8553-57297d6b6d43,0.0,0b938518-efd3-47e3-bdc8-5c276cf701ef,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,,
1714fc5c-d648-4564-9de4-2cda3a5150f5,0.0,b22a8a03-1b58-4aba-b2c8-1098315cfeda,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
172d2ed4-b021-4550-88d3-672e496224c9,0.0,9b2e6647-660e-43d8-9e27-a5f06b0ddb54,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,
d4fe1abb-5d60-4d0e-8f93-aaf3f5bfdd2f,0.0,12a39cf2-449c-4e3e-b7ca-40622cf386aa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
4a16f596-0138-4f03-9bd6-ca1694a072cf,0.0,740a2044-a117-4a58-96a4-6861ab0fc8aa,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
cb669f32-a9ce-4191-a7cd-c749633229a2,0.0,b6547495-27e9-4562-9b13-89d0be8007c0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
e2692822-8261-4549-8a64-08a408dfe5f8,0.0,f203b61c-9fbe-4ec0-ad8f-aed1da80d216,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
e039250d-79cc-43ac-b238-4558c8fc9883,0.0,5e775625-fe5c-49b8-9648-d9f7929eb241,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,
0f7c65e5-d4ad-447e-bdf1-eb0fe12d0b95,0.0,13177ee7-67ff-42b4-8bd1-4c1f7a91598f,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,,
122296ca-2a7d-4df1-bf27-33abb8808eea,0.0,5e4874a1-4ac4-426d-92da-51c761d527cb,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
69173327-c5ec-48ee-b0f4-9c1df36508c9,0.0,eef15e99-0ec1-4296-85b6-530d218819d5,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,,
7747232f-91f9-40f2-a9e5-c72e608196c1,0.0,d39aa0b0-e9c3-4146-9925-ca1c517d068a,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,
803ec6ee-8d61-4d0e-b900-830d37866a1f,0.0,938453ab-ad1f-4e95-9b52-7ee678665e4d,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,
4d0b03b6-109c-4141-997e-de1123994b48,0.0,c3268e1a-374b-4713-9326-f524d2f4ca87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
1e0b891b-eac7-4225-9058-a4874860062e,0.0,665a7faf-e518-4918-bdce-acb10e79dcf0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
4af2ce95-f919-4476-899b-c161e2ceef17,0.0,c5ec367b-daee-471d-9d22-052771185713,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
0b0de9ed-0d11-463c-8d62-b584191f1302,0.0,bea4c452-ce54-41a3-beaf-8ca6e2d133a8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,
94c0a43d-3a9b-4e74-b8df-734b0b2325e5,0.0,8cd0994d-4c08-473a-bf11-94b08d3082c6,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,
3e179e12-5bc5-4237-989f-abcc1d6869f4,0.0,33a2aa89-d62a-4962-9655-e21e1ddb2348,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,
10994633-1db5-48e5-8a28-656d1d0b1bee,0.0,013c54a0-e7d1-4da6-bce1-995d7be626c9,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,
33dc90f9-4fca-4318-b0f2-9b503e492ee5,0.0,04738700-75a2-4d5c-864d-de41c81995db,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,,
08a56d0c-bc59-41dd-bf4e-c8e3bf1befde,0.0,d0f180bb-334a-4c66-8027-ffa9879ff465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
04df2856-11f0-42da-9217-4af63c305f23,0.0,f62b6c54-6847-47f8-8112-f6269578125f,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
