station_identity,station_deletion,station_name,station_latitude,station_longitude,zone,postcode,direction_identity
0185c5c0-740d-425c-a51c-24cb5f8a8c4c,false,Coulsdon South,51.31580072052946,-0.1379030891827174,6,CR5 3EA,a1f41008-b499-4a71-82d4-444dc4d71d82
69aec30b-8ab8-4411-8ec7-bb83a8dd926b,false,Coulsdon Town,51.32245273545386,-0.1343470562402079,6,CR5 2JA,a1f41008-b499-4a71-82d4-444dc4d71d82
6755ece0-c460-4849-9ba9-ece9e516d8f1,false,Covent Garden,51.51276003353218,-0.1245068937369663,1,WC2E 9JT,fa3a9c79-9948-4923-ac41-55e5962faba9
3d705043-53f4-4437-8cc4-48903e680def,false,Crayford,51.44854705225513,0.178502718160404,6,DA1 3PY,a1f41008-b499-4a71-82d4-444dc4d71d82
b2843cb1-828b-4756-afc3-c39c8627f147,false,Crews Hill,51.68447443881015,-0.1068441000992872,6,EN2 8AY,c31d725d-5697-4031-94b4-0b4545cf75ef
106419c5-e493-4211-ac60-cb025b81f157,false,Cricklewood,51.55842232306195,-0.2125479314767667,3,NW2 1HL,9beb28ec-f491-4ffd-8601-0ad71c0bdbc2
899849f1-ee85-4e73-b74e-83c4e7fe0021,false,Crofton Park,51.45517923504132,-0.0365465817645417,3,SE4 2RA,4e8ce58e-daea-4d93-9490-11e0724e6445
403ee0dc-0022-46c3-b319-2a0ff138b09a,false,Crossharbour and London Arena,51.49583995740512,-0.0149328130902497,2,E14 8AD,d760aad1-f5d3-476a-9030-9fb1c919b639
86ddae27-b06c-41dd-8b91-e5a7e512321e,false,Crouch Hill,51.57132690836755,-0.1171332840976015,3,N4 4AU,9beb28ec-f491-4ffd-8601-0ad71c0bdbc2
6f4497a9-9ff0-4066-b918-a9925830695b,false,Croxley,51.64700456011115,-0.4416037868779258,7,WD3 3DY,56f2aa1c-b9ad-4a39-a5cb-fb55a75e1355
4ef5833e-40ff-45ea-827f-3f527352a1c1,false,Crystal Palace,51.418170235167786,-0.0726072324587528,"3,4",SE19 2AZ,4e8ce58e-daea-4d93-9490-11e0724e6445
