pub_identity,station_identity,detail_name,address,category,colour,detail_deletion,detail_latitude,detail_longitude,extra,place,rank
d0a713b3-1211-417a-b221-1b2679230679,7aca5d33-e34b-4616-9047-f23a97feb291,"The Gun, Docklands","Docklands, 27 Coldharbour, London E14 9NS, UK",Bar,#0275d8,False,51.50184337425499,-0.007701963186264,Riverside setting with some events,ChIJGdgRt6UCdkgRfP95cuqWvm0,4.5
5a95a497-6a8a-4c1c-99bc-92d74e20921f,acc56c69-d6f6-4344-839d-c686fec72ff1,The Observatory,"31 Entertainment Avenue, The Observatory, The Millennium Dome Millennium Way, 31 Entertainment Avenue, London SE10 0DY, UK",Bar,#000000,False,51.50252500247753,0.0036638975143432,Traditional pub at the O2,ChIJ53RE6Qup2EcRXKKe7CosKEM,4.4
1150b070-051c-4757-9539-0b085a4551dc,acc56c69-d6f6-4344-839d-c686fec72ff1,The Stargazer,"The O2 Arena, Peninsula Square, London SE10 0DX, UK",Bar,#0275d8,False,51.50443584463452,0.0039411708712577,Weatherspoons at O2,ChIJx6Qy0syp2EcRqhM6ofjTxAs,3.1
dce72725-aec6-495c-93a4-88fa5b2ddef5,acc56c69-d6f6-4344-839d-c686fec72ff1,Brew By Numbers,"Southern Warehouse, Morden Wharf Rd, London SE10 0NU, UK",Other,#0275d8,False,51.493315481385125,0.002535693347454,Brewery tours,ChIJc23fnFSp2EcRjgA7Y9x5DkQ,4.4
1305f2b9-18f3-4e05-964c-000407d6dc88,1ebea11f-ac87-4596-beda-b692611daca3,Enderby House,"23 Telegraph Ave, London SE10 0TH, UK",Bar,#0275d8,False,51.49071006174886,0.0028106197714805,Rooftop bar,ChIJVZZLAkep2EcRUvs5lDzX39U,4.2
162dd12d-330c-429f-a3e1-12661ebfb5c7,1ebea11f-ac87-4596-beda-b692611daca3,The Plume of Feathers,"19 Park Vista, London SE10 9LZ, UK",Bar,#0275d8,False,51.48181510910799,-0.0011275336146354,Wed 8.30pm quiz,ChIJj4SiloICdkgRNLxZhNfgDuA,4.6
9e9a798f-92a8-4846-9d34-e04ab3e820d5,1ebea11f-ac87-4596-beda-b692611daca3,Trafalgar Tavern,"Park Row, London SE10 9NW, UK",Bar,#0275d8,False,51.4846177126984,-0.0041614472866058,Riverside pub with fine dining and occasional quiz nights,ChIJuYCd54ICdkgRmRF_n6vuMFQ,4.4
06d84519-d68f-4037-a943-fb10361b023d,1ebea11f-ac87-4596-beda-b692611daca3,The Cutty Sark,"4-6 Ballast Quay, London SE10 9PD, UK",Bar,#0275d8,False,51.48637773403065,-0.0005173310637474,Riverside pub with Wed 8pm quiz,ChIJG1iKg50CdkgR3sMZ4yrp0DE,4.5
9b132499-96eb-417c-af3d-9f364172ef33,1ebea11f-ac87-4596-beda-b692611daca3,The Pelton Arms,"The Pelton Arms, 23-25 Pelton Rd, London SE10 9PQ, UK",Bar,#0275d8,False,51.48684184221602,0.0024374574422836,Colourful pub with accommodation. Tue 8.30pm quiz. Fri-Sun live music,ChIJhV6rHCeo2EcRZMYqsNXCii0,4.5
ce2548a3-47f9-4e24-9ac3-3cd34805290a,ede5ad70-2009-4ee5-8070-60ea6405d3a3,The River Ale House,"131 Woolwich Rd, London SE10 0RJ, UK",Bar,#0275d8,False,51.486247248422416,0.0132571533322334,Traditional pub,ChIJw3qfHzuo2EcR2dlbfS0ZNm0,4.8
b8008c1f-9c21-46e9-9d45-6ea226c5cedb,1ebea11f-ac87-4596-beda-b692611daca3,Meantime Brewing Company,"Lawrence Trading Estate, Blackwall Ln, London SE10 0AR, UK",Bar,#0275d8,False,51.48945082311533,0.0084945559501647,Brewery tours and Thurs live music,ChIJl2TV7COo2EcRKY9ujROFizQ,4.5
0b1ef52c-4497-4de4-b606-305b2ee1911e,ee69f44d-2211-46bc-8716-3d6b9d73be6e,The Waterman's Arms,"1 Glenaffric Ave, London E14 3BW, UK",Bar,#0275d8,False,51.48861785271868,-0.0058120116591453,Wed quiz. Sat live music,ChIJZYUH53wDdkgRIlElL1PT3_4,4.6
