pub_identity,monday,tuesday,wednesday,thursday,friday,saturday,sunday
3ff4b9d3-b10e-4aa3-84f0-1a6aa8359585,no events,no events,no events,no events,no events,no events,no events
40059dcc-b717-453f-80cf-90aafee63127,no events,no events,no events,no events,no events,no events,no events
40243318-45ae-459f-bc19-1eb43598bdd9,no events,no events,no events,no events,no events,no events,no events
40892d31-0764-4136-b44b-02225148939b,no events,no events,no events,no events,no events,no events,no events
40ec196c-cc92-497f-9a9a-4a7a43304c2b,no events,no events,no events,no events,no events,no events,no events
4184f086-d263-4cc3-8466-cb19af980b3c,no events,no events,no events,no events,no events,no events,no events
425a6ac5-d811-40b7-9185-7d147553666a,no events,no events,no events,no events,no events,no events,no events
426915da-c971-4b4c-917e-d2eaaf30dce4,no events,no events,no events,no events,no events,no events,no events
43a799f3-03f9-401d-b71e-ece6c27fd2ff,no events,no events,no events,no events,no events,no events,no events
43cbab67-43e7-4615-bd45-910886f17d30,no events,no events,no events,no events,no events,no events,no events
43e5dbec-ad39-4c6c-95bd-68967a88d04a,no events,no events,no events,no events,no events,no events,no events
445269c4-b88d-4a1a-a51a-38556661f43c,no events,Irish music,no events,Quiz 7pm,no events,Live music,no events
44e3ec1e-f40a-445b-9edb-7994fc4d08d1,no events,no events,no events,no events,no events,no events,no events
44f933f3-3089-4df8-b983-489565b2424b,no events,no events,Quiz 7.30pm,no events,no events,no events,no events
4523a524-b894-4057-8f68-05512da79c5d,no events,no events,no events,no events,no events,no events,no events
45852adf-75c3-4eb0-b99e-e9df1e047206,no events,no events,no events,no events,no events,no events,no events
45897c9f-51e7-43fa-91a0-e7e89e29590e,Closed,no events,no events,no events,no events,Live music,Live music
45cb2079-73b3-494c-9438-bf437bd0cd3a,no events,no events,Fondue night,Fondue night,no events,no events,no events
46179aca-6f27-4242-9f71-f1c2b420f94c,no events,no events,no events,no events,no events,no events,no events
479223e8-2444-4c90-af1b-276047066bd7,no events,no events,Quiz 7pm,no events,no events,no events,no events
4838e1e2-675e-4c43-addd-4bcf7cc58b42,no events,no events,no events,no events,no events,no events,no events
4910bad5-cc2a-488c-a645-fb92c3273982,no events,no events,no events,no events,no events,no events,no events
49bf46f8-088d-44aa-afee-c96875a311a7,no events,no events,no events,no events,no events,no events,no events
49e0632f-b944-4e35-a03d-b97b132e9b0f,no events,no events,no events,no events,no events,no events,no events
49e9472f-a4ea-4195-ab5e-191a4fdcf889,no events,no events,no events,no events,no events,no events,no events
4a468f6c-eb8a-4588-829b-14405beaef8d,no events,no events,no events,no events,no events,no events,no events
4a6dd34e-d5f4-4b5c-b3fa-a41d99cc2533,TBC,TBC,TBC,TBC,TBC,TBC,TBC
4a8884c1-3f3e-4ad8-ad30-15d90ed08b3d,no events,no events,no events,no events,no events,no events,no events
4b0f5199-a980-4d1b-b0df-15fd21df824c,no events,no events,no events,no events,no events,no events,no events
4b35c570-5afd-4f2d-a3f4-5d994a7e76e4,no events,no events,no events,no events,no events,no events,no events
4b4763d9-f1d4-4967-b6ff-f60295e0b08a,no events,Live music and open mic,no events,no events,no events,no events,no events
4bd18e41-00da-4560-87ec-96fa38e87e7e,TBC,TBC,TBC,TBC,TBC,TBC,TBC
4c0c6ec9-0e5a-4f30-840e-2a2d3fa0cec7,Quiz 8pm,no events,no events,no events,no events,no events,no events
4d03fd58-b12d-4800-a087-dfbf347e2625,no events,no events,no events,no events,no events,no events,no events
4d2b172a-3f76-4936-af1f-3a9fa3129835,Live music,no events,no events,no events,no events,no events,no events
4d771274-5f0e-4df4-a0dd-728951e700dc,no events,no events,no events,no events,Live music or disco karaoke,Live music or disco karaoke,Closed
4d8254ad-1246-42a6-bfb0-11b7e40e413b,Game night,no events,no events,no events,no events,no events,no events
4db0af7c-e9ca-4475-9d0f-0d7ca82d31e8,no events,no events,no events,no events,no events,Live music,Live music
4e4833e3-c549-4b19-92d5-c11213f6f775,no events,no events,no events,no events,no events,no events,no events
4e4e3842-c27a-4cbe-ad68-9e502c5dd11d,no events,no events,no events,no events,no events,no events,no events
4e5ae801-600a-4e23-9afc-77ad69b6258f,no events,no events,no events,no events,no events,no events,no events
4e657bd9-9975-4f07-be10-5f1fe5677501,no events,no events,no events,no events,Traditional live Irish music,no events,no events
4efe599e-daf0-4cd5-94b4-740242dba743,no events,no events,no events,no events,Regular entertainment,no events,no events
4f74f192-299e-4ef7-a3ca-28afb731cba9,no events,no events,no events,no events,no events,no events,no events
50f4ee06-deac-4049-bbd4-0cd727d4c319,no events,no events,no events,no events,no events,no events,no events
51549a28-0c34-47ae-8b08-a13cc6820b79,no events,no events,no events,no events,no events,no events,no events
515b0be2-21fb-49f6-b1bf-1d37ba802d30,TBC,TBC,TBC,TBC,TBC,TBC,TBC
51735582-57d4-4609-9d86-1cda1d9e0e9a,Closed,Live music,no events,no events,Drag bingo,Closed,Closed
5195d970-0ad2-4437-84a1-6cf4c3724f8e,no events,no events,no events,no events,no events,no events,no events
51e49abc-e21e-4865-8a49-304f8babc3de,no events,no events,no events,no events,no events,no events,no events
525a8c71-6eb6-422a-870c-2f66d5d65808,no events,no events,no events,no events,no events,no events,7.30pm quiz
526bc553-5443-4d0c-a0b5-99ac6117857b,no events,no events,no events,no events,no events,no events,no events
528783f6-5ba8-4207-9de5-ba7bcfa50cae,no events,no events,no events,no events,no events,no events,no events
